iter	Passed	Remaining
0	5739	5733522
1	8885	4433870
2	9597	3189713
3	10423	2595527
4	11398	2268249
5	12664	2098089
6	13632	1933799
7	14365	1781277
8	15122	1665104
9	15876	1571729
10	16568	1489662
11	17283	1422980
12	18022	1368311
13	18816	1325198
14	19545	1283496
15	20349	1251464
16	21064	1218013
17	21746	1186409
18	22415	1157322
19	23264	1139943
20	24078	1122521
21	24874	1105778
22	25634	1088924
23	26346	1071444
24	27038	1054517
25	27818	1042133
26	28516	1027660
27	29263	1015867
28	30112	1008264
29	30966	1001236
30	31733	991937
31	33089	1000967
32	34385	1007609
33	36352	1032838
34	38588	1063950
35	40437	1082819
36	41443	1078640
37	42537	1076882
38	43333	1067776
39	44310	1063463
40	45316	1059956
41	46575	1062358
42	47540	1058052
43	49344	1072127
44	50927	1080788
45	51756	1073377
46	52460	1063727
47	53253	1056192
48	54198	1051889
49	55018	1045347
50	55811	1038532
51	56664	1033028
52	57385	1025364
53	58080	1017492
54	59234	1017762
55	60672	1022768
56	61828	1022875
57	63148	1025623
58	64957	1036011
59	66306	1038803
60	67448	1038262
61	68529	1036790
62	69685	1036433
63	70484	1030840
64	71429	1027490
65	72283	1022914
66	73181	1019075
67	74047	1014889
68	74814	1009450
69	75696	1005687
70	76517	1001195
71	77355	997028
72	78316	994506
73	79098	989794
74	79908	985533
75	80886	983409
76	81771	980194
77	82536	975619
78	83327	971452
79	84080	966928
80	84901	963263
81	85727	959732
82	86716	958058
83	87626	955548
84	88384	951433
85	89321	949297
86	90085	945376
87	90876	941807
88	91769	939352
89	92656	936864
90	93436	933341
91	94234	930048
92	94978	926300
93	95809	923439
94	96694	921137
95	97461	917763
96	98172	913918
97	98864	909960
98	99739	907727
99	100722	906505
100	101535	903770
101	102394	901474
102	103346	900021
103	104255	898198
104	105232	896985
105	105976	893804
106	106691	890427
107	107441	887388
108	108314	885396
109	109114	882836
110	109925	880397
111	110798	878472
112	111509	875303
113	112295	872749
114	112981	869465
115	113730	866703
116	114539	864429
117	115373	862368
118	116129	859746
119	116836	856800
120	117594	854258
121	118380	851950
122	119085	849089
123	119764	846079
124	120466	843268
125	121292	841347
126	122306	840738
127	123120	838759
128	124074	837742
129	125236	838119
130	126856	841510
131	127980	841568
132	129537	844431
133	130934	846187
134	131701	843867
135	132472	841591
136	133262	839457
137	134086	837557
138	134843	835254
139	135625	833128
140	136410	831040
141	137312	829676
142	138381	829324
143	139173	827308
144	139966	825320
145	140815	823674
146	141741	822487
147	142544	820593
148	143181	817768
149	143833	815059
150	144560	812791
151	145273	810470
152	146054	808550
153	146889	806936
154	147545	804359
155	148173	801657
156	148885	799430
157	149578	797121
158	150319	795085
159	151007	792791
160	151772	790913
161	152386	788271
162	153007	785688
163	153618	783080
164	154264	780670
165	155077	779126
166	155828	777273
167	156556	775326
168	157279	773369
169	158053	771674
170	158674	769246
171	159398	767335
172	160109	765380
173	160782	763255
174	161483	761278
175	162207	759428
176	162886	757374
177	163573	755376
178	164492	754460
179	165333	753185
180	166040	751312
181	166726	749351
182	167483	747725
183	168155	745734
184	169003	744527
185	169774	742989
186	170482	741190
187	171187	739383
188	171915	737692
189	172687	736195
190	173394	734428
191	174176	732992
192	174835	731047
193	175530	729266
194	176226	727497
195	176893	725624
196	177766	724599
197	178639	723580
198	179451	722315
199	180178	720713
200	180814	718760
201	181486	716959
202	182266	715598
203	183062	714303
204	183728	712507
205	184398	710741
206	185043	708886
207	185749	707277
208	186487	705797
209	187187	704183
210	187876	702533
211	188621	701101
212	189322	699516
213	189996	697836
214	190698	696272
215	191562	695299
216	192415	694292
217	193029	692426
218	193778	691054
219	194476	689507
220	195165	687937
221	195946	686694
222	196705	685382
223	197347	683668
224	198018	682063
225	198801	680852
226	199610	679729
227	200550	679058
228	201375	677992
229	202019	676324
230	202658	674651
231	203315	673045
232	204012	671577
233	204895	670726
234	205719	669681
235	206439	668303
236	207262	667262
237	208286	666866
238	209346	666579
239	210293	665928
240	211327	665550
241	211968	663935
242	212631	662395
243	213361	661071
244	214141	659906
245	214864	658569
246	215547	657115
247	216188	655538
248	216828	653968
249	217534	652604
250	218255	651287
251	218993	650029
252	219660	648562
253	220368	647224
254	221004	645678
255	221633	644121
256	222335	642782
257	223093	641609
258	223854	640448
259	224583	639198
260	225261	637809
261	225899	636312
262	226584	634952
263	227366	633869
264	228111	632686
265	228804	631362
266	229547	630181
267	230191	628730
268	230949	627597
269	231780	626666
270	232668	625887
271	233421	624746
272	234055	623290
273	234694	621854
274	235428	620674
275	236287	619825
276	237033	618683
277	237701	617338
278	238338	615921
279	238990	614547
280	239724	613386
281	240431	612162
282	241233	611182
283	241928	609933
284	242702	608884
285	243368	607570
286	243996	606165
287	244683	604911
288	245479	603931
289	246303	603019
290	246994	601784
291	247646	600457
292	248324	599200
293	249005	597952
294	249747	596854
295	250483	595743
296	251155	594486
297	251845	593273
298	252559	592120
299	253202	590805
300	253902	589627
301	254677	588625
302	255397	587498
303	256005	586117
304	256841	585261
305	257561	584143
306	258220	582889
307	259104	582143
308	259859	581110
309	260618	580086
310	261410	579137
311	262301	578408
312	263117	577513
313	263949	576653
314	264681	575576
315	265496	574682
316	266181	573507
317	266897	572403
318	267756	571605
319	268541	570650
320	269474	570009
321	270159	568845
322	270945	567895
323	271642	566760
324	272508	565978
325	273314	565073
326	274039	564000
327	274704	562809
328	275402	561687
329	276224	560818
330	276989	559837
331	277711	558769
332	278407	557650
333	279077	556484
334	279794	555413
335	280427	554177
336	281277	553374
337	282072	552462
338	282782	551384
339	283619	550555
340	284376	549571
341	285080	548488
342	285926	547677
343	286822	546964
344	287482	545800
345	288174	544699
346	288875	543619
347	289574	542536
348	290278	541465
349	291047	540516
350	291724	539400
351	292421	538320
352	293116	537241
353	293821	536181
354	294540	535151
355	295244	534093
356	296025	533177
357	296670	532018
358	297286	530809
359	297949	529688
360	298618	528579
361	299451	527763
362	300203	526803
363	300859	525676
364	301554	524622
365	302229	523533
366	303054	522707
367	303805	521752
368	304665	520985
369	305420	520041
370	306140	519036
371	306776	517891
372	307418	516759
373	308164	515804
374	308932	514888
375	309646	513881
376	310327	512821
377	311011	511769
378	311695	510719
379	312546	509944
380	313305	509018
381	313991	507976
382	314597	506805
383	315369	505905
384	316060	504876
385	316704	503772
386	317483	502887
387	318248	501979
388	318907	500906
389	319551	499811
390	320252	498808
391	320904	497728
392	321642	496786
393	322413	495895
394	323102	494878
395	323739	493783
396	324443	492793
397	325180	491855
398	325862	490835
399	326714	490071
400	327538	489266
401	328186	488197
402	328859	487168
403	329572	486201
404	330237	485164
405	331050	484345
406	331788	483416
407	332444	482370
408	333081	481298
409	333701	480204
410	334369	479181
411	335150	478321
412	335863	477365
413	336571	476403
414	337261	475416
415	337931	474404
416	338561	473337
417	339246	472348
418	339965	471407
419	340679	470461
420	341420	469554
421	342067	468519
422	342674	467430
423	343304	466376
424	344027	465449
425	344793	464581
426	345473	463597
427	346088	462528
428	346810	461606
429	347534	460685
430	348193	459679
431	348966	458826
432	349693	457913
433	350339	456893
434	351044	455954
435	351719	454976
436	352353	453947
437	353003	452940
438	353794	452115
439	354498	451180
440	355114	450134
441	355749	449113
442	356406	448122
443	357110	447192
444	357817	446267
445	358562	445389
446	359256	444448
447	359892	443438
448	360585	442499
449	361225	441497
450	361879	440514
451	362631	439651
452	363455	438875
453	364075	437852
454	364705	436845
455	365375	435886
456	366052	434938
457	366872	434159
458	367629	433306
459	368324	432381
460	368967	431396
461	369613	430415
462	370263	429441
463	370957	428519
464	371661	427610
465	372368	426705
466	373112	425843
467	373767	424881
468	374398	423892
469	375054	422933
470	375835	422116
471	376588	421268
472	377329	420407
473	378066	419542
