,tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
19575,221864,107688,2015-09-13T00:00:00.000,11,0,OnCurb,Alive,Poor,Pyrus calleryana,Callery pear,3or4,Unsure,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,527 EAST 83 STREET,10028,New York,108,1,Manhattan,5,76,28,MN32,Yorkville,1013600,New York,40.77340223,-73.94707947,998907.6902,221052.5156,5.0,136.0,1051194.0,1015800017.0
172248,328163,213992,2015-10-14T00:00:00.000,9,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1667 TROY AVENUE,11234,Brooklyn,318,3,Brooklyn,45,41,21,BK58,Flatlands,3072600,New York,40.63161649,-73.93396336,1002579.474,169398.2032,45.0,726.0,3214207.0,3077480030.0
483212,690511,214423,2016-08-31T00:00:00.000,25,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,NYC Parks Staff,"Stones,RootOther,TrunkOther,BranchLights",Yes,No,Yes,No,No,Yes,Yes,No,No,985 EAST 83 STREET,11236,Brooklyn,318,3,Brooklyn,46,59,19,BK50,Canarsie,3095600,New York,40.63540972,-73.90916125,1009462.241,170786.3448,46.0,956.0,3225006.0,3080200006.0
103200,290017,349008,2015-10-06T00:00:00.000,7,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,TreesCount Staff,BranchOther,No,No,No,No,No,No,No,No,Yes,102-030 67 AVENUE,11375,Forest Hills,406,4,Queens,29,28,16,QN17,Forest Hills,4071303,New York,40.72823237,-73.84976958,1025888.353,204626.9553,29.0,71303.0,4051256.0,4021340013.0
557989,40867,108216,2015-06-29T00:00:00.000,10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Harmful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,1200 PARK AVENUE,10128,New York,108,1,Manhattan,4,68,28,MN40,Upper East Side-Carnegie Hill,1016001,New York,40.78559646,-73.95347647,997133.5202,225494.2784,4.0,16001.0,1047404.0,1015060021.0
146954,330646,301056,2015-10-15T00:00:00.000,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,25-048 47 STREET,11103,Astoria,401,4,Queens,22,36,12,QN70,Astoria,4014500,New York,40.76414424,-73.90714075,1009973.312,217688.7267,22.0,145.0,4013479.0,4007300066.0
196097,263412,515124,2015-09-27T00:00:00.000,5,0,OnCurb,Alive,Fair,Quercus imbricaria,shingle oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,83 EAST 233 STREET,10470,Bronx,212,2,Bronx,11,81,34,BX62,Woodlawn-Wakefield,2044901,New York,40.89613854,-73.87309645,1019334.383,265790.8953,11.0,44901.0,2018797.0,2033650064.0
67724,252656,222451,2015-09-23T00:00:00.000,4,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,480 KNICKERBOCKER AVENUE,11237,Brooklyn,304,3,Brooklyn,37,53,18,BK77,Bushwick North,3043300,New York,40.6984862,-73.91767833,1007076.736,193764.543,37.0,433.0,3326387.0,3033070022.0
54280,260049,230190,2015-09-25T00:00:00.000,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,1245 OCEAN AVENUE,11210,Brooklyn,314,3,Brooklyn,45,42,21,BK42,Flatbush,3076600,New York,40.63211105,-73.95746236,996056.8812,169574.343,45.0,766.0,3205712.0,3075480029.0
48908,204525,210997,2015-09-05T00:00:00.000,6,0,OnCurb,Alive,Good,Gymnocladus dioicus,Kentucky coffeetree,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,744 ROCKAWAY AVENUE,11212,Brooklyn,316,3,Brooklyn,42,55,19,BK81,Brownsville,3091600,New York,40.6616113,-73.90876319,1009562.781,180332.4107,42.0,916.0,3390451.0,3035890043.0
128023,335271,347990,2015-10-15T00:00:00.000,15,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,101-002 ASCAN AVENUE,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4074900,New York,40.71167619,-73.84457545,1027338.677,198597.5527,29.0,749.0,4078494.0,4032800001.0
64729,211624,110754,2015-09-09T00:00:00.000,6,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,98 FT WASHINGTON AVENUE,10032,New York,112,1,Manhattan,7,71,31,MN36,Washington Heights South,1024500,New York,40.83860986,-73.9435945,999857.6443,244810.556,7.0,245.0,1063369.0,1021370119.0
445453,673040,347383,2016-08-21T00:00:00.000,8,0,OnCurb,Alive,Poor,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,54-007 63 STREET,11378,Maspeth,405,4,Queens,30,30,15,QN30,Maspeth,4051100,New York,40.72703026,-73.90319448,1011081.427,204168.1117,30.0,511.0,4054343.0,4023660088.0
97066,300342,209274,2015-10-09T00:00:00.000,11,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,3650 NOSTRAND AVENUE,11229,Brooklyn,315,3,Brooklyn,48,41,19,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3059402,New York,40.59489188,-73.94094275,1000651.259,156017.0906,48.0,59402.0,3202630.0,3074050920.0
167162,370628,512802,2015-10-23T00:00:00.000,11,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,Damage,NYC Parks Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,1581 ALLERTON AVENUE,10469,Bronx,211,2,Bronx,13,80,34,BX31,Allerton-Pelham Gardens,2036000,New York,40.86523635,-73.84038311,1028398.982,254546.8003,13.0,360.0,2054645.0,2045360006.0
141885,352428,412251,2015-10-20T00:00:00.000,5,0,OnCurb,Alive,Good,Acer campestre,hedge maple,None,Helpful,NoDamage,NYC Parks Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,692 SINCLAIR AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI32,Rossville-Woodrow,5020804,New York,40.54120066,-74.1986966,929024.0586,136513.166,51.0,20804.0,5083914.0,5068500028.0
467919,682905,213757,2016-08-26T00:00:00.000,19,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1791 UTICA AVENUE,11234,Brooklyn,318,3,Brooklyn,46,41,21,BK58,Flatlands,3072800,New York,40.62907977,-73.92783857,1004280.265,168475.3517,46.0,728.0,3254550.0,3077760006.0
175330,384859,509644,2015-10-27T00:00:00.000,30,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,924 BRINSMADE AVENUE,10465,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2016600,New York,40.82841791,-73.82992433,1031317.852,241137.9203,13.0,166.0,2079700.0,2055350107.0
292587,451313,201121,2015-11-12T00:00:00.000,3,0,OnCurb,Alive,Good,Syringa reticulata,Japanese tree lilac,None,None,NoDamage,TreesCount Staff,TrunkOther,No,No,No,No,No,Yes,No,No,No,533 SCHENCK AVENUE,11207,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3116000,New York,40.66748268,-73.88704532,1015585.435,182478.539,42.0,1160.0,3319682.0,3040600001.0
598844,59370,321673,2015-07-10T00:00:00.000,11,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,216-009 46 AVENUE,11361,Bayside,411,4,Queens,19,25,11,QN46,Bayside-Bayside Hills,4147100,New York,40.75905625,-73.76477647,1049415.12,215908.8642,19.0,1471.0,4157507.0,4073360038.0
369683,554995,322853,2016-04-28T00:00:00.000,11,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,250-007 40 AVENUE,11363,Little Neck,411,4,Queens,19,26,11,QN45,Douglas Manor-Douglaston-Little Neck,4147900,New York,40.77334997,-73.74104572,1055973.953,221135.064,19.0,1479.0,4169634.0,4081440082.0
576246,67748,503455,2015-07-15T00:00:00.000,19,0,OnCurb,Dead,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1325 EDWARD L GRANT HIGHWAY,10452,Bronx,204,2,Bronx,16,84,29,BX26,Highbridge,2021900,New York,40.8392873,-73.92123053,1006045.628,245062.1474,16.0,211.0,2003108.0,2025060138.0
596814,96717,224232,2015-07-27T00:00:00.000,9,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,569 HICKS STREET,11231,Brooklyn,306,3,Brooklyn,39,52,26,BK33,Carroll Gardens-Columbia Street-Red Hook,3006300,New York,40.68366567,-74.00132988,983881.1585,188354.2651,39.0,63.0,3341889.0,3003430007.0
330760,505465,410961,2015-12-09T00:00:00.000,6,0,OnCurb,Alive,Good,Ulmus parvifolia,Chinese elm,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,410 KING STREET,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5015602,New York,40.53408692,-74.15712375,940574.1976,133897.998,51.0,15602.0,5069257.0,5053490028.0
548976,26051,345837,2015-06-18T00:00:00.000,6,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,Helpful,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,376 WOODWARD AVENUE,11385,Ridgewood,405,4,Queens,34,37,12,QN20,Ridgewood,4053900,New York,40.7094415,-73.91332532,1008279.819,197757.0478,34.0,539.0,4081181.0,4034000039.0
393971,590711,333591,2016-06-16T00:00:00.000,28,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,108-020 221 STREET,11429,Queens Village,413,4,Queens,27,33,14,QN34,Queens Village,4058200,New York,40.70807992,-73.73501813,1057715.376,197360.212,27.0,582.0,4241151.0,4111860034.0
476037,698409,314268,2016-09-06T00:00:00.000,24,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,20-027 154 STREET,11357,Whitestone,407,4,Queens,19,26,11,QN49,Whitestone,4103300,New York,40.78008337,-73.80869379,1037231.783,223540.1071,19.0,1033.0,4107500.0,4047370008.0
324342,521164,413034,2015-12-16T00:00:00.000,11,0,OnCurb,Alive,Fair,Fraxinus,ash,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,259 WOEHRLE AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI48,Arden Heights,5017008,New York,40.55056397,-74.18021063,934169.0785,139913.3226,51.0,17008.0,5075859.0,5056640076.0
